hidden_layers,loss_epoch_01,loss_epoch_02,loss_epoch_03,loss_epoch_04,loss_epoch_05,loss_epoch_06,loss_epoch_07,loss_epoch_08,loss_epoch_09,loss_epoch_10
"(2,)",124830286482.92800000,124087534972.056,122761248351.794,120888345748.026,118513819716.17700000,115685989347.304,112462400795.039,108914152303.352,105128001658.329,101177786704.862
"(2,)",131775148953.545,131033854928.491,129708937105.202,127838367793.781,125465631138.135,122640413669.09500000,119417746733.787,115873877365.353,112086200570.779,108138210173.44
"(2,)",133715803753.068,132974469025.208,131650738986.653,129779905862.493,127407771444.727,124580133819.762,121356157116.689,117814722123.865,114025783633.958,110081880737.39
"(2,2)",124236364648.225,96387125078.0843,72372211098.7495,68806071295.7466,66622187641.4408,64554512590.8095,62242126486.75620000,59932856331.741,58041468435.3723,56674259205.5614
"(2,2)",131864918486.722,131536617439.643,130940957334.31,130089590747.713,128989918017.322,127652804147.932,126088114956.12600000,124310483572.825,122336858137.08200000,120183305693.39400000
"(2,2)",132568844180.652,109272648024.838,83409675967.996,79425539997.12680000,77198974048.4729,75637551699.1176,74151792356.9243,72517998751.0834,70765704342.11020000,69022176331.0644
"(2,4)",117515597578.224,82418196713.7204,71708892141.9465,68997591930.5309,67186709352.8946,65556932666.0953,63758852818.7478,61756876418.5346,59806486374.2259,58207954778.0551
"(2,4)",126666553612.247,95722033534.76940000,79772003782.2562,76972844119.2365,75056059001.7518,73598739852.3635,72177947418.511,70623334468.8489,68905986665.1541,67233013404.3963
"(2,4)",128604927040.082,97645205440.1394,81666472261.6021,78860234805.9416,76932085399.592,75485570973.2233,74046358966.751,72486649487.4681,70781048398.5657,69092425364.7471
"(4,)",124836320705.432,124105448663.084,122790128581.852,120928972430.009,118562626542.75900000,115741566162.648,112524643375.377,108986771092.308,105201037360.619,101254159203.307
"(4,)",131781255651.321,131051069816.989,129737186333.313,127877611912.852,125514370673.581,122695353545.323,119483091709.348,115942982057.058,112157358135.116,108215239542.252
"(4,)",133721922119.90100000,132990924821.282,131677655401.942,129817645882.704,127455261084.868,124637110368.293,121425054621.428,117884837561.034,114098576124.003,110153753679.559
"(4,2)",124985922503.388,124981388450.43900000,124976855434.73,124972322280.458,124967789535.447,124963254462.96,124958725727.797,124954194228.652,124949661294.287,124945129706.644
"(4,2)",131930727719.736,131926192888.131,131921657183.518,131917121334.783,131912591623.201,131908057675.113,131903521573.535,131898989402.751,131894455942.586,131889925359.823
"(4,2)",133871414590.002,133866878212.207,133862343617.794,133857806257.418,133736157975.99,120913047223.609,88742820946.8127,80694228438.4589,78214743758.5614,76500792788.2912
